,Id,Towns,Latitude,Longitude,temperature_forcast,weather_forcast
0,0,Mont Saint-Michel,48.6359541,-1.511459954959514,8,Clouds
1,1,Saint-Malo,48.649518,-2.0260409,12,Clouds
2,2,Bayeux,49.2764624,-0.7024738,9,Clouds
3,3,Le Havre,49.4938975,0.1079732,10,Clouds
4,4,Rouen,49.4404591,1.0939658,5,Clouds
5,5,Paris,48.8588897,2.3200410217200766,2,Clouds
6,6,Amiens,49.8941708,2.2956951,3,Clear
7,7,Lille,50.6365654,3.0635282,2,Clouds
8,8,Strasbourg,48.584614,7.7507127,1,Clear
9,9,Château du Haut-Kœnigsbourg,48.24941075,7.344320233724503,0,Clear
10,10,Colmar,48.0777517,7.3579641,3,Clear
11,11,Eguisheim,48.0447968,7.3079618,3,Clear
12,12,Besançon,47.2380222,6.0243622,0,Clear
13,13,Dijon,47.3215806,5.0414701,1,Clouds
14,14,Annecy,45.8992348,6.1288847,5,Clear
15,15,Grenoble,45.1875602,5.7357819,4,Clear
16,16,Lyon,45.7578137,4.8320114,2,Clouds
17,17,Gorges du Verdon,43.7496562,6.3285616,7,Clear
18,18,Bormes-les-Mimosas,43.1506968,6.3419285,12,Clear
19,19,Cassis,43.2140359,5.5396318,12,Clear
20,20,Marseille,43.2961743,5.3699525,13,Clear
21,21,Aix-en-Provence,43.5298424,5.4474738,11,Clear
22,22,Avignon,43.9492493,4.8059012,9,Clear
23,23,Uzès,44.0121279,4.4196718,7,Clear
24,24,Nîmes,43.8374249,4.3600687,10,Clear
25,25,Aigues-Mortes,43.5661521,4.19154,10,Clear
26,26,Saintes-Maries-de-la-Mer,43.4515922,4.4277202,10,Clear
27,27,Collioure,42.52505,3.0831554,11,Clear
28,28,Carcassonne,43.2130358,2.3491069,13,Clear
29,29,Ariège,42.9455368,1.4065544156065486,2,Clear
30,30,Toulouse,43.6044622,1.4442469,13,Clear
31,31,Montauban,44.0175835,1.3549991,7,Clear
32,32,Biarritz,43.47114375,-1.552726590666314,12,Clear
33,33,Bayonne,43.4945144,-1.4736657,12,Clear
34,34,La Rochelle,46.159732,-1.1515951,11,Clear
