,Id,temperature_forcast,weather_forcast
0,0,8,Clouds
1,1,12,Clouds
2,2,9,Clouds
3,3,10,Clouds
4,4,5,Clouds
5,5,2,Clouds
6,6,3,Clear
7,7,2,Clouds
8,8,1,Clear
9,9,0,Clear
10,10,3,Clear
11,11,3,Clear
12,12,0,Clear
13,13,1,Clouds
14,14,5,Clear
15,15,4,Clear
16,16,2,Clouds
17,17,7,Clear
18,18,12,Clear
19,19,12,Clear
20,20,13,Clear
21,21,11,Clear
22,22,9,Clear
23,23,7,Clear
24,24,10,Clear
25,25,10,Clear
26,26,10,Clear
27,27,11,Clear
28,28,13,Clear
29,29,2,Clear
30,30,13,Clear
31,31,7,Clear
32,32,12,Clear
33,33,12,Clear
34,34,11,Clear
