,Town,Latitude,Longitude,Id
0,Mont Saint Michel,48.6359541,-1.511459954959514,0
1,Saint Malo,48.649518,-2.0260409,1
2,Bayeux,49.2764624,-0.7024738,2
3,Le Havre,49.4938975,0.1079732,3
4,Rouen,49.4404591,1.0939658,4
5,Paris,48.8588897,2.3200410217200766,5
6,Amiens,49.8941708,2.2956951,6
7,Lille,50.6365654,3.0635282,7
8,Strasbourg,48.584614,7.7507127,8
9,Chateau du Haut Koenigsbourg,48.24941075,7.344320233724503,9
10,Colmar,48.0777517,7.3579641,10
11,Eguisheim,48.0447968,7.3079618,11
12,Besancon,47.2380222,6.0243622,12
13,Dijon,47.3215806,5.0414701,13
14,Annecy,45.8992348,6.1288847,14
15,Grenoble,45.1875602,5.7357819,15
16,Lyon,45.7578137,4.8320114,16
17,Gorges du Verdon,43.7496562,6.3285616,17
18,Bormes les Mimosas,43.1506968,6.3419285,18
19,Cassis,43.2140359,5.5396318,19
20,Marseille,43.2961743,5.3699525,20
21,Aix en Provence,43.5298424,5.4474738,21
22,Avignon,43.9492493,4.8059012,22
23,Uzes,44.0121279,4.4196718,23
24,Nimes,43.8374249,4.3600687,24
25,Aigues Mortes,43.5661521,4.19154,25
26,Saintes Maries de la mer,43.4515922,4.4277202,26
27,Collioure,42.52505,3.0831554,27
28,Carcassonne,43.2130358,2.3491069,28
29,Ariege,42.9455368,1.4065544156065486,29
30,Toulouse,43.6044622,1.4442469,30
31,Montauban,44.0175835,1.3549991,31
32,Biarritz,43.4832523,-1.5592776,32
33,Bayonne,43.4945144,-1.4736657,33
34,La Rochelle,46.159732,-1.1515951,34
